subject,body,label
Team Lunch,Hi team we are having lunch together this Friday at 12:30 in the cafeteria,0
Invoice Paid,Your invoice #1023 has been successfully paid Thank you for your business,0
Holiday Notice,The office will be closed on Monday for the national holiday,0
Performance Review,Your annual performance review is scheduled for next Wednesday at 3 PM,0
Travel Itinerary,Your flight to New York is confirmed for October 15 at 10:45 AM,0
Family Gathering,Dont forget were meeting at Grandmas house this Sunday for dinner,0
Library Reminder,Your borrowed books are due back next week Please return them to avoid late fees,0
Subscription Renewal,Your subscription has been renewed for another year No action is needed,0
Meeting Agenda,Attached is the agenda for tomorrows project status meeting,0
Doctor Appointment,This is a reminder of your appointment with Dr Brown on Thursday at 2 PM,0
Receipt Confirmation,Thank you for shopping with us Your receipt number is 88429,0
Class Update,Next week’s lecture will be held in Room 204 instead of Room 201,0
Welcome Email,Welcome to our newsletter We look forward to keeping you informed,0
Weather Alert,Heavy rain expected tomorrow Please carry an umbrella,0
Sports Practice,Practice is scheduled for 5 PM at the stadium See you there,0
Hotel Booking,Your hotel reservation has been confirmed for Nov 2-5,0
Exam Results,Your exam results are now available on the student portal,0
IT Ticket Update,Your support ticket has been resolved Please confirm,0
Community Meeting,Neighborhood meeting scheduled for 7 PM at the town hall,0
Package Delivered,Your package has been delivered and is waiting at your doorstep,0
Work From Home,Reminder Tomorrow is work-from-home day for all employees,0
School Notice,The school will be closed for winter break starting Dec 20,0
Bank Statement,Your monthly bank statement is now available online,0
Password Change Success,You have successfully changed your account password,0
Health Checkup,This is a reminder of your yearly health checkup at City Clinic,0
Newsletter,Welcome to the August edition of our company newsletter,0
Payment Success,Your payment of 150 USD has been processed successfully,0
Bus Schedule,The city bus schedule has been updated for the weekend,0
Gym Reminder,Your gym session is booked for 6 PM today,0
Store Discount,Thank you for shopping with us Enjoy 10% off your next visit,0
Conference Invite,You are invited to attend the annual business conference,0
College Orientation,Orientation for new students starts on September 1st,0
Food Order,Your order has been placed and will arrive in 30 minutes,0
Exam Reminder,Your math exam will take place on Friday at 9 AM,0
Training Session,Your mandatory training session is tomorrow at 4 PM,0
Donation Thanks,Thank you for your generous donation to our charity,0
Car Service,Your car service appointment is confirmed for Tuesday at 11 AM,0
Job Application,We have received your job application and will review it soon,0
Software Update,Your software has been updated to the latest version,0
Mobile Bill,Your mobile bill for this month is now available online,0
Rent Receipt,Your rent payment has been received for September,0
Pet Appointment,Your pet vaccination is scheduled for next week,0
Bank Transfer,Your money transfer of 500 USD has been completed,0
Flight Boarding,Your flight will begin boarding at Gate 12 in 20 minutes,0
Thank You,Thank you for attending our annual gala event,0
Account Access,You logged in successfully from a recognized device,0
Card Delivery,Your new credit card will arrive within 5 business days,0
Workshop Invite,You are invited to a workshop on leadership this Saturday,0
Class Reminder,Your online class starts at 10 AM tomorrow via Zoom,0
Birthday Wishes,Happy Birthday from all of us at your favorite store,0
Verify Your Account,We noticed unusual activity Please click below to verify immediately,1
Payment Failure,Your recent payment was declined Update your billing info to avoid suspension,1
Urgent Update Required,Your mailbox is full Click here to increase capacity,1
Security Alert,Someone tried to log in from an unknown device Reset your password now,1
Claim Your Prize,Congratulations Youve won an iPhone Provide details to claim,1
Bank Notification,Your bank account will be locked unless you confirm your details,1
Unpaid Invoice,You have an outstanding invoice Download the attached file to pay,1
Password Expiration,Your password expires today Click this link to update it,1
Confirm Delivery,Your package cannot be delivered Provide your details to reschedule,1
Lottery Winner,You have won 10 million dollars Send us your banking details,1
Account Locked,Your account has been locked Click here to restore access,1
Suspicious Activity,We detected multiple failed logins Verify your account immediately,1
